activity,event_count,case_count,automation_rate,mean_processing_minutes,median_processing_minutes,case_coverage
Invoice Duplicate Check,12744,12000,1.0,0.9992325800376647,0.96,1.0
Invoice Matched,12634,12000,0.0,34.244988127275604,32.69,1.0
Payment Authorized,12634,12000,0.0,18.133504828241254,17.37,1.0
Case Closed,12000,12000,1.0,1.0007308333333333,0.96,1.0
Goods Received,12000,12000,0.0,22.177705000000003,21.22,1.0
Invoice Received,12000,12000,0.0,11.073225,10.6,1.0
Payment Executed,12000,12000,1.0,2.0011558333333332,1.92,1.0
Procurement Review,12000,12000,0.0,38.44754833333334,36.81,1.0
Purchase Order Created,12000,12000,0.0,24.135390833333332,23.0,1.0
Purchase Order Sent,12000,12000,1.0,2.0020191666666665,1.92,1.0
Purchase Request Created,12000,12000,1.0,8.000476666666668,7.65,1.0
Supplier Confirmation,12000,12000,0.0,12.054994166666667,11.5,1.0
Manager Approval,11723,10464,0.0,16.178605305809093,15.44,0.872
Delivery Delayed,1551,1551,0.0,18.17088974854932,17.59,0.12925
Request Reworked,1259,1259,0.0,28.278022239872914,27.19,0.10491666666666667
Invoice Blocked,1159,1159,0.0,26.311423641069887,25.1,0.09658333333333333
Invoice Corrected,1159,1159,0.0,20.44666954270923,19.63,0.09658333333333333
Three-Way Match Failed,822,822,0.0,29.972822384428223,28.765,0.0685
Corrected Invoice Received,744,744,0.0,13.218239247311828,12.585,0.062
Duplicate Check Failed,744,744,0.0,13.941021505376344,13.13,0.062
Invoice Rejected,744,744,0.0,16.147405913978496,15.41,0.062
Payment Rejected,634,634,0.0,24.114574132492113,23.05,0.052833333333333336
