activity,case_count,transition_count,total_wait_hours,mean_wait_hours,median_wait_hours,p90_wait_hours,p95_wait_hours,case_coverage,bottleneck_score
Goods Received,12000,12000,865100.2425,72.09168687500001,64.02125,120.18008333333333,143.9332222222222,1.0,0.9241859786271567
Invoice Received,12000,12000,348031.5563888889,29.002629699074078,26.379444444444445,45.7935,53.868972222222155,1.0,0.45669007561134545
Delivery Delayed,1551,1551,155821.00305555554,100.46486334981014,90.19722222222222,160.82194444444445,192.11597222222224,0.12925,0.41845295793224135
Payment Executed,12000,12000,253050.5875,21.087548958333333,19.299166666666668,33.525305555555555,38.869597222222225,1.0,0.3734192506504495
Payment Authorized,12000,12634,177330.82361111112,14.035999969218864,12.680694444444445,22.67600000000001,26.69270833333332,1.0,0.3050408350912135
Manager Approval,10464,11723,166426.90722222222,14.196614110912071,12.860277777777778,22.79255555555556,26.636888888888887,0.872,0.2791259371542846
Procurement Review,12000,12000,145027.2925,12.085607708333335,10.99763888888889,19.389833333333332,22.71338888888889,1.0,0.278373326262803
Supplier Confirmation,12000,12000,138535.8088888889,11.54465074074074,10.28875,19.189916666666672,22.80006944444444,1.0,0.27387334364195115
Invoice Matched,12000,12634,114351.51444444444,9.051093433943679,8.219305555555556,14.610722222222225,17.102111111111096,1.0,0.24995572095083332
Purchase Order Created,12000,12000,80384.91638888889,6.698743032407407,6.120555555555556,10.672805555555556,12.29518055555555,1.0,0.22101510766871046
Case Closed,12000,12000,23044.375555555554,1.9203646296296295,1.756527777777778,3.044722222222222,3.5536805555555544,1.0,0.17033047208616747
Purchase Order Sent,12000,12000,4616.087222222222,0.3846739351851852,0.3541666666666667,0.6055833333333334,0.7011111111111111,1.0,0.15406440974722269
Invoice Duplicate Check,12000,12744,3675.468888888889,0.2884077910302016,0.26416666666666666,0.45944444444444443,0.5344444444444445,1.0,0.1531937880504184
Corrected Invoice Received,744,744,23798.66888888889,31.987458183990444,29.47888888888889,53.328527777777786,61.88108333333336,0.062,0.12391029409361069
Invoice Corrected,1159,1159,31183.030555555557,26.90511695906433,24.836944444444445,41.3443888888889,48.29616666666666,0.09658333333333333,0.11143709167608354
Request Reworked,1259,1259,24024.71638888889,19.08237997528903,17.619444444444444,29.69111111111111,35.210555555555544,0.10491666666666667,0.08639786658106856
Invoice Blocked,1159,1159,21071.891666666666,18.18109721023871,16.123333333333335,29.82127777777778,35.00969444444442,0.09658333333333333,0.08351338064850555
Payment Rejected,634,634,12168.843333333334,19.19375920084122,17.439166666666665,29.57475,34.84212500000001,0.052833333333333336,0.07083076169006693
Three-Way Match Failed,822,822,8020.070277777778,9.756776493646932,8.894305555555555,15.139055555555554,17.70324999999999,0.0685,0.04361452837536679
Invoice Rejected,744,744,5734.610277777778,7.707809513142174,7.202222222222222,12.37513888888889,14.377986111111115,0.062,0.03603065677905373
Duplicate Check Failed,744,744,1432.586388888889,1.9255193399044206,1.7665277777777777,3.012833333333334,3.6101527777777784,0.062,0.01583097825257054
