case_id,fitness,edit_distance,conformant,missing_activities,unexpected_activities,repeated_activities
P2P-000001,1.0,0,True,,,
P2P-000002,1.0,0,True,,,
P2P-000003,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000004,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000005,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000006,1.0,0,True,,,
P2P-000007,0.9230769230769231,1,False,Manager Approval,,
P2P-000008,1.0,0,True,,,
P2P-000009,1.0,0,True,,,
P2P-000010,1.0,0,True,,,
P2P-000011,0.7647058823529411,4,False,,Corrected Invoice Received | Duplicate Check Failed | Invoice Rejected,Invoice Duplicate Check
P2P-000012,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000013,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000014,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000015,1.0,0,True,,,
P2P-000016,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000017,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000018,1.0,0,True,,,
P2P-000019,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000020,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000021,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000022,1.0,0,True,,,
P2P-000023,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000024,1.0,0,True,,,
P2P-000025,1.0,0,True,,,
P2P-000026,1.0,0,True,,,
P2P-000027,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000028,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000029,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000030,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000031,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000032,1.0,0,True,,,
P2P-000033,0.9230769230769231,1,False,Manager Approval,,
P2P-000034,1.0,0,True,,,
P2P-000035,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000036,0.7647058823529411,4,False,,Corrected Invoice Received | Duplicate Check Failed | Invoice Rejected,Invoice Duplicate Check
P2P-000037,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000038,0.9230769230769231,1,False,Manager Approval,,
P2P-000039,1.0,0,True,,,
P2P-000040,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000041,1.0,0,True,,,
P2P-000042,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000043,0.9230769230769231,1,False,Manager Approval,,
P2P-000044,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000045,1.0,0,True,,,
P2P-000046,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000047,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000048,0.9230769230769231,1,False,Manager Approval,,
P2P-000049,1.0,0,True,,,
P2P-000050,1.0,0,True,,,
P2P-000051,1.0,0,True,,,
P2P-000052,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000053,0.9230769230769231,1,False,Manager Approval,,
P2P-000054,0.9230769230769231,1,False,Manager Approval,,
P2P-000055,1.0,0,True,,,
P2P-000056,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000057,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000058,1.0,0,True,,,
P2P-000059,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000060,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000061,1.0,0,True,,,
P2P-000062,0.9230769230769231,1,False,Manager Approval,,
P2P-000063,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000064,1.0,0,True,,,
P2P-000065,0.9230769230769231,1,False,Manager Approval,,
P2P-000066,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000067,0.9230769230769231,1,False,Manager Approval,,
P2P-000068,1.0,0,True,,,
P2P-000069,1.0,0,True,,,
P2P-000070,1.0,0,True,,,
P2P-000071,1.0,0,True,,,
P2P-000072,1.0,0,True,,,
P2P-000073,1.0,0,True,,,
P2P-000074,1.0,0,True,,,
P2P-000075,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000076,1.0,0,True,,,
P2P-000077,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000078,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000079,1.0,0,True,,,
P2P-000080,1.0,0,True,,,
P2P-000081,0.9230769230769231,1,False,Manager Approval,,
P2P-000082,1.0,0,True,,,
P2P-000083,1.0,0,True,,,
P2P-000084,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000085,0.8461538461538461,2,False,Manager Approval,Delivery Delayed,
P2P-000086,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000087,0.8125,3,False,,Payment Rejected,Invoice Matched | Payment Authorized
P2P-000088,1.0,0,True,,,
P2P-000089,1.0,0,True,,,
P2P-000090,0.8666666666666667,2,False,,Invoice Blocked | Invoice Corrected,
P2P-000091,1.0,0,True,,,
P2P-000092,0.9285714285714286,1,False,,Delivery Delayed,
P2P-000093,1.0,0,True,,,
P2P-000094,0.7647058823529411,4,False,,Corrected Invoice Received | Duplicate Check Failed | Invoice Rejected,Invoice Duplicate Check
P2P-000095,0.8125,3,False,,Delivery Delayed | Request Reworked,Manager Approval
P2P-000096,1.0,0,True,,,
P2P-000097,0.7857142857142857,3,False,,Three-Way Match Failed,
P2P-000098,1.0,0,True,,,
P2P-000099,1.0,0,True,,,
P2P-000100,0.8666666666666667,2,False,,Request Reworked,Manager Approval
P2P-000101,0.9230769230769231,1,False,Manager Approval,,
P2P-000102,0.9230769230769231,1,False,Manager Approval,,
