case_id,created_at,completed_at,business_unit,department,country,vendor_id,vendor_tier,material_category,amount_usd,priority,channel,variant_ground_truth,event_count,rework_count,cycle_time_hours,sla_target_hours,sla_breached,fitness,conformant,touch_time_hours,estimated_wait_hours,automation_rate
P2P-000001,2025-03-30 01:25:34+00:00,2025-04-07 01:53:09+00:00,Corporate Services,Finance,Türkiye,V-020,B,Professional Services,13227.27,Standard,ERP Portal,happy_path,13,0,192.46,240.0,False,1.0,True,3.3615,189.0982222222222,0.38461538461538464
P2P-000002,2025-07-08 11:40:11+00:00,2025-07-16 18:33:03+00:00,Consumer Products,Operations,Germany,V-021,B,Direct Materials,71004.49,Standard,ERP Portal,happy_path,13,0,198.8812,240.0,False,1.0,True,2.656833333333333,196.2242777777778,0.38461538461538464
P2P-000003,2026-06-24 12:58:33+00:00,2026-07-04 06:44:31+00:00,Industrial Systems,Operations,Germany,V-077,C,IT Equipment,13409.03,Standard,ERP Portal,approval_rework,15,1,233.7663,240.0,False,0.8666666666666667,False,4.231333333333334,229.53477777777778,0.3333333333333333
P2P-000004,2025-06-20 21:32:30+00:00,2025-06-30 04:53:29+00:00,Industrial Systems,Operations,Netherlands,V-017,A,Direct Materials,25197.42,Standard,Catalog,approval_rework,15,1,223.3498,240.0,False,0.8666666666666667,False,3.6713333333333336,219.6783888888889,0.3333333333333333
P2P-000005,2025-12-08 15:47:32+00:00,2025-12-26 08:42:38+00:00,Industrial Systems,Information Technology,Poland,V-064,C,MRO,12341.74,Standard,ERP Portal,happy_path+late_delivery,14,0,424.9184,240.0,True,0.9285714285714286,False,3.335166666666667,421.58316666666667,0.35714285714285715
P2P-000006,2026-03-29 22:35:01+00:00,2026-04-05 18:32:59+00:00,Consumer Products,Information Technology,Germany,V-042,B,MRO,10202.92,Standard,Catalog,happy_path,13,0,163.9662,240.0,False,1.0,True,3.4123333333333337,160.55377777777778,0.38461538461538464
P2P-000007,2025-02-20 20:05:47+00:00,2025-03-01 13:29:40+00:00,Industrial Systems,Engineering,Türkiye,V-065,C,Direct Materials,15753.35,Urgent,Catalog,fast_track,12,0,209.3983,120.0,True,0.9230769230769231,False,3.2786666666666666,206.11938888888886,0.4166666666666667
P2P-000008,2026-05-01 15:45:45+00:00,2026-05-11 00:02:22+00:00,Industrial Systems,Engineering,Türkiye,V-056,B,IT Equipment,4117.28,Standard,ERP Portal,happy_path,13,0,224.2771,240.0,False,1.0,True,2.6293333333333333,221.6476111111111,0.38461538461538464
P2P-000009,2025-08-29 22:11:30+00:00,2025-09-07 20:53:06+00:00,Industrial Systems,Engineering,Poland,V-066,C,MRO,19323.6,Standard,ERP Portal,happy_path,13,0,214.6933,240.0,False,1.0,True,2.8165,211.87683333333334,0.38461538461538464
P2P-000010,2025-01-01 14:31:09+00:00,2025-01-09 00:56:34+00:00,Consumer Products,Finance,Poland,V-002,A,Facilities,25477.91,Strategic,ERP Portal,happy_path,13,0,178.4237,336.0,False,1.0,True,3.355166666666667,175.06844444444445,0.38461538461538464
P2P-000011,2025-10-13 16:40:24+00:00,2025-10-19 05:05:43+00:00,Consumer Products,Operations,Poland,V-043,B,Professional Services,8584.63,Urgent,ERP Portal,duplicate_invoice,17,1,132.422,120.0,True,0.7647058823529411,False,4.0725,128.34944444444446,0.35294117647058826
P2P-000012,2025-03-05 17:24:13+00:00,2025-03-15 13:52:26+00:00,Industrial Systems,Engineering,Türkiye,V-038,B,Professional Services,3815.38,Standard,Catalog,approval_rework,15,1,236.4705,240.0,False,0.8666666666666667,False,3.9121666666666663,232.5581111111111,0.3333333333333333
P2P-000013,2026-01-01 15:00:49+00:00,2026-01-11 20:11:19+00:00,Industrial Systems,Finance,Poland,V-009,A,Direct Materials,7522.48,Strategic,ERP Portal,invoice_discrepancy,15,0,245.1751,336.0,False,0.8666666666666667,False,3.622333333333333,241.55266666666668,0.3333333333333333
P2P-000014,2025-03-05 13:59:48+00:00,2025-03-12 07:57:02+00:00,Consumer Products,Engineering,Germany,V-030,B,MRO,44501.26,Urgent,ERP Portal,invoice_discrepancy,15,0,161.954,120.0,True,0.8666666666666667,False,4.562666666666667,157.3912222222222,0.3333333333333333
P2P-000015,2025-08-19 14:05:22+00:00,2025-08-26 08:43:15+00:00,Corporate Services,Engineering,Türkiye,V-018,A,Direct Materials,3607.6,Standard,Catalog,happy_path,13,0,162.6316,240.0,False,1.0,True,3.053,159.5783888888889,0.38461538461538464
P2P-000016,2026-06-18 02:20:45+00:00,2026-06-26 12:55:56+00:00,Consumer Products,Operations,Türkiye,V-069,C,Direct Materials,22099.0,Standard,Catalog,approval_rework,15,1,202.5866,240.0,False,0.8666666666666667,False,3.6078333333333332,198.97855555555554,0.3333333333333333
P2P-000017,2025-01-21 16:33:11+00:00,2025-01-28 15:11:36+00:00,Industrial Systems,Operations,Türkiye,V-046,B,Professional Services,6475.6,Standard,ERP Portal,three_way_match_failure,14,0,166.6405,240.0,False,0.7857142857142857,False,3.877666666666667,162.7626111111111,0.35714285714285715
P2P-000018,2025-01-24 19:45:15+00:00,2025-02-01 18:30:49+00:00,Corporate Services,Operations,Türkiye,V-067,C,Professional Services,10428.98,Strategic,ERP Portal,happy_path,13,0,190.7596,336.0,False,1.0,True,3.0083333333333333,187.75111111111113,0.38461538461538464
