source,target,transition_count,mean_wait_hours,median_wait_hours,p90_wait_hours,case_coverage
Invoice Matched,Payment Authorized,12634,14.035999969218864,12.680694444444445,22.67600000000001,1.0528333333333333
Invoice Received,Invoice Duplicate Check,12000,0.2881424537037037,0.2638888888888889,0.4583333333333333,1.0
Payment Authorized,Payment Executed,12000,21.087548958333333,19.299166666666668,33.525305555555555,1.0
Payment Executed,Case Closed,12000,1.9203646296296295,1.756527777777778,3.044722222222222,1.0
Procurement Review,Purchase Order Created,12000,6.698743032407407,6.120555555555556,10.672805555555556,1.0
Purchase Order Created,Purchase Order Sent,12000,0.3846739351851852,0.3541666666666667,0.6055833333333334,1.0
Purchase Order Sent,Supplier Confirmation,12000,11.54465074074074,10.28875,19.189916666666672,1.0
Goods Received,Invoice Received,11178,28.992470328621696,26.380833333333335,45.7782777777778,0.9315
Manager Approval,Procurement Review,10464,12.102624235474007,11.003055555555555,19.449944444444448,0.872
Purchase Request Created,Manager Approval,10464,14.191589444232076,12.84,22.838916666666695,0.872
Invoice Duplicate Check,Invoice Matched,10019,9.058672577658005,8.215277777777779,14.61827777777778,0.8349166666666666
Supplier Confirmation,Goods Received,9711,71.81157009805604,63.68194444444445,119.86305555555556,0.80925
Supplier Confirmation,Delivery Delayed,1551,100.46486334981014,90.19722222222222,160.82194444444445,0.12925
Purchase Request Created,Procurement Review,1536,11.9696826171875,10.97013888888889,19.034861111111113,0.128
Delivery Delayed,Goods Received,1467,74.65542528213285,66.5586111111111,123.2273888888889,0.12225
Manager Approval,Request Reworked,1259,19.08237997528903,17.619444444444444,29.69111111111111,0.10491666666666667
Request Reworked,Manager Approval,1259,14.238375915629689,13.164722222222222,22.489166666666673,0.10491666666666667
Invoice Blocked,Invoice Corrected,1159,26.90511695906433,24.836944444444445,41.3443888888889,0.09658333333333333
Invoice Corrected,Invoice Matched,1159,9.04669782379446,8.18388888888889,14.551166666666667,0.09658333333333333
Invoice Duplicate Check,Invoice Blocked,1159,18.18109721023871,16.123333333333335,29.82127777777778,0.09658333333333333
Goods Received,Invoice Matched,822,8.890459921600433,8.101666666666667,14.359333333333332,0.0685
Invoice Duplicate Check,Three-Way Match Failed,822,9.756776493646932,8.894305555555555,15.139055555555554,0.0685
Three-Way Match Failed,Goods Received,822,70.82551872127603,62.76597222222222,116.24408333333331,0.0685
Corrected Invoice Received,Invoice Duplicate Check,744,0.29268742532855435,0.27069444444444446,0.4655,0.062
Duplicate Check Failed,Invoice Rejected,744,7.707809513142174,7.202222222222222,12.37513888888889,0.062
Invoice Duplicate Check,Duplicate Check Failed,744,1.9255193399044206,1.7665277777777777,3.012833333333334,0.062
Invoice Rejected,Corrected Invoice Received,744,31.987458183990444,29.47888888888889,53.328527777777786,0.062
Supplier Confirmation,Invoice Received,738,29.23528756398675,26.34861111111111,45.94952777777778,0.0615
Payment Authorized,Payment Rejected,634,19.19375920084122,17.439166666666665,29.57475,0.052833333333333336
Payment Rejected,Invoice Matched,634,9.147623116018226,8.525555555555556,14.69575,0.052833333333333336
Delivery Delayed,Invoice Received,84,28.31048611111111,26.38375,45.215472222222225,0.007
