feature,coefficient,absolute_importance,direction
priority_Urgent,2.3773871282669896,2.3773871282669896,higher_risk
priority_Strategic,-1.9813836466241515,1.9813836466241515,lower_risk
vendor_tier_C,1.3482770810289233,1.3482770810289233,higher_risk
vendor_tier_A,-1.0810894518879848,1.0810894518879848,lower_risk
elapsed_to_po_hours,0.5170010903755644,0.5170010903755644,higher_risk
priority_Standard,-0.37558219072085075,0.37558219072085075,lower_risk
early_rework_count,-0.2811352860879885,0.2811352860879885,lower_risk
vendor_tier_B,-0.24676633821896832,0.24676633821896832,lower_risk
country_Poland,-0.23306229024873662,0.23306229024873662,lower_risk
country_Netherlands,0.2129757471962465,0.2129757471962465,higher_risk
country_Germany,0.20771688033216767,0.20771688033216767,higher_risk
approval_count,0.2020575876375176,0.2020575876375176,higher_risk
country_Türkiye,-0.16720904635767386,0.16720904635767386,lower_risk
channel_Email Intake,0.11417403692797633,0.11417403692797633,higher_risk
material_category_MRO,0.07469730808343332,0.07469730808343332,higher_risk
material_category_Direct Materials,-0.06324541458244554,0.06324541458244554,lower_risk
business_unit_Consumer Products,0.05535664212896705,0.05535664212896705,higher_risk
amount_usd,0.0548182357546986,0.0548182357546986,higher_risk
channel_Catalog,-0.050195351277460096,0.050195351277460096,lower_risk
early_manual_minutes,0.04644723264178629,0.04644723264178629,higher_risk
department_Information Technology,-0.04473870076688404,0.04473870076688404,lower_risk
channel_ERP Portal,-0.04355739472851661,0.04355739472851661,lower_risk
department_Facilities,0.023275739652217773,0.023275739652217773,higher_risk
business_unit_Corporate Services,-0.023169477589861893,0.023169477589861893,lower_risk
department_Operations,0.015993313525631752,0.015993313525631752,higher_risk
early_event_count,0.015025452399523994,0.015025452399523994,higher_risk
material_category_IT Equipment,-0.013900607397417976,0.013900607397417976,lower_risk
department_Engineering,0.013267654955016675,0.013267654955016675,higher_risk
material_category_Professional Services,0.012920535107388696,0.012920535107388696,higher_risk
department_Finance,0.012623283556018546,0.012623283556018546,higher_risk
business_unit_Industrial Systems,-0.011765873617104166,0.011765873617104166,lower_risk
material_category_Facilities,0.009949469711040911,0.009949469711040911,higher_risk
