variant_rank,variant,activity_count,case_count,case_share
1,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,13,5078,0.4231666666666667
2,Purchase Request Created > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,12,1325,0.11041666666666666
3,Purchase Request Created > Manager Approval > Request Reworked > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,15,1108,0.09233333333333334
4,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Blocked > Invoice Corrected > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,15,987,0.08225
5,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,14,768,0.064
6,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Invoice Received > Invoice Duplicate Check > Three-Way Match Failed > Goods Received > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,14,738,0.0615
7,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Duplicate Check Failed > Invoice Rejected > Corrected Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,17,650,0.05416666666666667
8,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Rejected > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,16,563,0.04691666666666667
9,Purchase Request Created > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,13,211,0.017583333333333333
10,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Blocked > Invoice Corrected > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,16,172,0.014333333333333333
11,Purchase Request Created > Manager Approval > Request Reworked > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,16,151,0.012583333333333334
12,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Duplicate Check Failed > Invoice Rejected > Corrected Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,18,94,0.007833333333333333
13,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Invoice Received > Invoice Duplicate Check > Three-Way Match Failed > Goods Received > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,15,84,0.007
14,Purchase Request Created > Manager Approval > Procurement Review > Purchase Order Created > Purchase Order Sent > Supplier Confirmation > Delivery Delayed > Goods Received > Invoice Received > Invoice Duplicate Check > Invoice Matched > Payment Authorized > Payment Rejected > Invoice Matched > Payment Authorized > Payment Executed > Case Closed,17,71,0.005916666666666666
